time,position,velocity
0.010000,0.000200,0.019991
0.020000,0.000598,0.039835
0.030000,0.001193,0.059495
0.040000,0.001983,0.078934
0.050000,0.002964,0.098117
0.060000,0.004134,0.117007
0.070000,0.005489,0.135569
0.080000,0.007027,0.153769
0.090000,0.008743,0.171573
0.100000,0.010632,0.188948
0.110000,0.012691,0.205860
0.120000,0.014914,0.222280
0.130000,0.017296,0.238175
0.140000,0.019831,0.253517
0.150000,0.022513,0.268275
0.160000,0.025338,0.282422
0.170000,0.028297,0.295931
0.180000,0.031385,0.308776
0.190000,0.034594,0.320932
0.200000,0.037918,0.332374
0.210000,0.041349,0.343081
0.220000,0.044879,0.353031
0.230000,0.048501,0.362203
0.240000,0.052207,0.370578
0.250000,0.055988,0.378138
0.260000,0.059837,0.384867
0.270000,0.063744,0.390749
0.280000,0.067702,0.395770
0.290000,0.071701,0.399917
0.300000,0.075733,0.403180
0.310000,0.079788,0.405547
0.320000,0.083859,0.407011
0.330000,0.087934,0.407564
0.340000,0.092006,0.407200
0.350000,0.096065,0.405915
0.360000,0.100102,0.403705
0.370000,0.104108,0.400570
0.380000,0.108073,0.396508
0.390000,0.111988,0.391521
0.400000,0.115844,0.385612
0.410000,0.119632,0.378784
0.420000,0.123343,0.371043
0.430000,0.126967,0.362396
0.440000,0.130495,0.352851
0.450000,0.133919,0.342417
0.460000,0.137230,0.331106
0.470000,0.140420,0.318930
0.480000,0.143479,0.305902
0.490000,0.146399,0.292037
0.500000,0.149173,0.277351
0.510000,0.151791,0.261863
0.520000,0.154247,0.245591
0.530000,0.156533,0.228554
0.540000,0.158640,0.210774
0.550000,0.160563,0.192274
0.560000,0.162294,0.173076
0.570000,0.163826,0.153206
0.580000,0.165153,0.132690
0.590000,0.166268,0.111553
0.600000,0.167167,0.089825
0.610000,0.167842,0.067533
0.620000,0.168289,0.044707
0.630000,0.168503,0.021378
0.640000,0.168479,-0.002422
0.650000,0.168212,-0.026661
0.660000,0.167699,-0.051307
0.670000,0.166936,-0.076324
0.680000,0.165919,-0.101680
0.690000,0.164646,-0.127338
0.700000,0.163113,-0.153263
0.710000,0.161319,-0.179418
0.720000,0.159261,-0.205767
0.730000,0.156938,-0.232272
0.740000,0.154349,-0.258895
0.750000,0.151493,-0.285599
0.760000,0.148370,-0.312345
0.770000,0.144979,-0.339094
0.780000,0.141321,-0.365808
0.790000,0.137396,-0.392447
0.800000,0.133207,-0.418972
0.810000,0.128753,-0.445345
0.820000,0.124038,-0.471525
0.830000,0.119063,-0.497473
0.840000,0.113832,-0.523151
0.850000,0.108347,-0.548520
0.860000,0.102611,-0.573540
0.870000,0.096629,-0.598173
0.880000,0.090406,-0.622382
0.890000,0.083944,-0.646127
0.900000,0.077251,-0.669373
0.910000,0.070330,-0.692081
0.920000,0.063188,-0.714215
0.930000,0.055830,-0.735739
0.940000,0.048264,-0.756618
0.950000,0.040496,-0.776817
0.960000,0.032533,-0.796302
0.970000,0.024383,-0.815040
0.980000,0.016053,-0.832998
0.990000,0.007551,-0.850144
1.000000,-0.001113,-0.866449
1.010000,-0.009932,-0.881881
1.020000,-0.018896,-0.896411
